annual_income,debt_to_income_ratio,credit_history_length,open_credit_lines,approved
80404,44.2,16.4,2,0
103683,47.8,15.5,9,0
106997,35.9,15.3,4,0
91584,18.7,20.4,5,1
173005,31.7,16.8,2,1
86137,44.2,4.9,0,0
141820,56.7,7.4,10,0
113979,50.3,3.9,0,0
60540,20.5,26.5,1,1
168060,6.4,30.0,3,1
115085,28.0,19.7,11,1
72290,58.4,14.5,7,0
143317,20.8,28.8,10,1
39923,28.7,13.7,0,0
178753,50.6,25.7,7,1
30125,64.8,2.5,7,0
18741,13.1,13.7,10,0
166653,56.2,14.3,15,0
91311,51.3,10.0,12,0
172161,61.9,4.1,14,0
106814,7.7,12.2,10,1
178526,5.4,21.2,2,1
144427,36.8,8.3,1,1
59588,51.2,6.9,3,0
95234,41.9,11.3,0,1
157818,30.5,29.9,13,1
168702,22.4,5.0,3,1
143955,63.6,13.3,6,0
110921,54.4,17.1,13,0
47938,29.9,2.0,15,0
119946,28.6,1.9,14,0
140525,26.0,24.0,14,1
163515,37.0,16.8,6,1
85067,62.1,27.7,10,0
123272,54.7,0.7,3,0
120088,20.2,16.6,6,1
52038,61.3,0.8,2,0
99214,62.3,14.7,0,0
159754,28.4,7.7,10,1
18003,32.0,14.0,7,0
57073,28.4,15.9,1,1
166152,34.8,18.6,3,1
145808,25.1,24.2,3,1
133184,27.4,0.9,7,0
161106,50.6,18.6,8,1
51099,55.1,27.3,5,0
99805,50.0,0.1,4,0
129413,7.6,12.2,5,1
77729,38.5,26.4,10,0
123038,12.7,25.5,12,1
55641,26.4,13.4,1,0
126229,57.3,5.3,0,0
157056,16.6,27.1,2,1
177805,32.3,10.7,14,1
159015,36.9,4.1,1,1
24177,6.7,6.5,10,0
84304,40.1,4.7,13,0
153467,42.9,6.8,2,1
121609,52.2,11.7,1,1
80799,30.1,26.2,1,1
144019,5.6,10.5,3,1
36084,62.4,15.6,13,0
176258,46.5,22.6,0,1
110131,7.7,14.7,10,1
27426,43.4,4.8,8,0
159149,18.7,25.4,2,1
97132,9.7,27.8,0,1
136090,26.5,15.3,8,1
34628,6.7,27.8,10,1
126211,8.8,22.8,3,1
107203,11.0,15.8,7,1
42535,13.1,19.8,5,1
60056,48.0,18.5,10,0
163526,17.7,14.5,2,1
97315,22.4,5.3,7,1
82351,23.2,8.9,3,1
120081,30.9,29.7,3,1
99482,34.3,17.4,0,1
96318,30.1,17.8,10,1
71417,53.8,20.9,13,0
43646,44.5,18.3,12,0
177923,26.9,29.8,6,1
77910,36.5,23.1,4,0
170980,20.1,22.4,6,1
89671,5.8,22.7,3,1
148126,8.5,10.5,6,1
41226,40.3,11.8,10,0
93396,48.2,13.8,4,0
131979,22.3,15.8,1,1
147433,20.2,22.8,10,1
61704,13.3,19.0,4,1
33540,41.8,28.0,12,0
103333,64.4,20.9,7,0
80876,52.3,4.0,7,0
178276,62.9,19.7,6,1
81662,56.0,28.7,9,0
114271,24.4,19.4,11,0
107663,19.7,16.1,0,1
153058,54.2,18.0,6,0
126903,35.0,5.7,10,0
66318,35.9,3.8,12,0
61536,42.0,7.5,4,0
142817,26.3,23.7,7,1
21262,63.7,1.7,8,0
17676,45.0,14.7,2,0
22286,11.1,28.6,14,0
52893,35.8,15.9,12,0
96677,45.4,28.4,8,1
149366,10.0,5.8,10,1
128893,28.7,17.1,11,1
64271,58.8,28.5,0,1
139285,33.9,12.2,3,1
90441,17.5,4.2,14,0
136114,41.5,9.7,0,1
83743,53.1,17.6,10,0
70041,37.4,21.1,14,0
31891,62.9,25.8,13,0
61750,12.8,0.8,0,1
64523,25.5,13.9,13,0
176088,58.8,25.8,0,1
30066,28.6,24.4,12,0
99852,48.5,1.8,1,0
36501,10.2,29.9,9,1
91851,34.5,9.2,0,0
120688,33.5,29.5,12,1
146474,52.5,20.9,6,0
125166,59.8,27.7,15,0
105030,26.9,9.9,4,0
98100,56.7,19.8,6,0
145310,6.1,6.6,14,1
169167,16.2,4.3,1,1
119998,51.0,7.0,5,0
24760,47.4,7.6,4,0
52437,14.2,22.9,4,1
136633,37.9,10.5,5,1
123549,18.2,20.5,11,1
122029,15.5,27.4,2,1
88159,54.4,19.2,6,0
41775,30.5,13.1,2,0
47588,64.5,9.9,8,0
63778,61.9,26.5,1,0
35540,55.7,20.8,13,0
159719,10.3,29.5,2,1
87952,34.0,12.6,14,0
65574,44.3,19.9,14,0
81762,21.3,18.8,0,1
126311,27.2,18.0,4,1
154070,50.3,9.9,4,0
83242,37.3,21.1,1,1
54290,42.5,9.7,12,0
174342,9.2,24.8,10,1
128124,9.2,12.5,10,1
143345,43.1,12.7,14,0
51768,15.1,23.8,15,0
62762,54.5,25.9,1,0
174472,25.4,16.1,15,1
174871,59.4,18.0,5,1
102373,6.0,28.8,3,1
37799,33.4,16.6,8,0
78530,48.4,8.7,4,0
88339,10.6,29.6,15,1
124353,9.0,5.2,13,1
169682,64.0,19.9,8,0
156477,6.9,26.1,7,1
35225,52.5,2.1,5,0
87765,61.0,21.3,6,0
82752,60.1,13.8,11,0
23289,29.0,19.3,0,0
83522,21.2,2.4,7,0
57838,37.5,29.4,8,0
51896,43.6,13.6,8,0
132436,58.2,25.5,2,1
145476,31.9,25.4,12,1
30445,35.9,16.9,15,0
96977,34.5,4.4,4,1
54445,47.3,9.8,0,0
127699,18.1,0.9,7,1
101849,34.2,5.2,3,0
177218,7.0,20.3,1,1
119240,16.9,24.4,5,1
157270,14.9,26.9,15,1
55651,6.5,8.7,0,1
43929,12.0,1.7,6,0
158739,45.3,15.1,13,0
77902,10.0,5.8,6,1
67827,15.6,2.1,9,0
170449,56.3,8.0,8,0
168450,31.2,12.7,15,1
178994,31.7,1.8,5,1
161092,38.6,8.6,5,1
52449,39.8,4.0,5,0
111156,63.4,0.7,13,0
126844,22.1,28.2,12,1
155314,30.0,20.5,7,1
42834,59.4,21.7,15,0
51076,25.1,18.3,15,0
104349,34.9,23.1,8,0
47253,23.7,13.6,5,0
172944,51.7,6.3,0,1
145518,51.2,29.7,2,1
79348,43.9,25.4,1,1
44874,13.8,11.7,14,0
110115,27.1,14.7,8,0
148007,30.4,16.2,8,1
34783,16.8,25.8,5,1
135163,14.4,21.6,10,1
110755,54.0,6.5,3,0
132784,56.2,20.0,9,0
73409,41.2,1.6,0,0
91891,43.2,3.8,12,0
77072,23.6,10.0,15,0
35797,34.8,13.2,3,0
140078,61.1,0.7,15,0
73022,60.4,17.6,12,0
148325,22.3,3.6,15,0
161269,12.3,27.3,0,1
64569,43.3,27.4,14,0
71129,13.5,10.3,4,1
108800,20.0,12.4,12,1
173116,41.6,2.9,8,1
78078,22.8,10.8,3,1
65851,15.3,20.3,14,0
147865,57.4,2.5,15,0
52753,26.8,15.0,6,0
176453,20.7,2.7,1,1
58696,29.0,26.8,0,1
124767,5.2,17.0,11,1
174539,47.4,2.5,0,1
153746,17.7,7.2,4,1
118495,48.6,2.3,4,0
153147,38.4,28.9,1,1
162639,47.0,14.4,4,1
146844,23.3,15.5,12,1
117384,14.6,10.7,11,1
139423,24.6,14.3,5,1
70680,37.3,19.1,15,0
99659,57.4,9.1,13,0
52541,12.8,3.6,2,1
61537,56.9,13.2,9,0
76639,58.2,20.8,6,0
176441,49.0,15.6,6,1
146531,16.4,8.4,8,1
145483,35.6,28.8,12,1
54742,54.0,2.3,14,0
135423,64.2,23.6,15,0
15843,36.9,15.9,12,0
105819,29.6,3.9,11,0
82585,61.0,29.0,14,0
109352,50.9,23.1,10,0
111524,11.8,19.8,0,1
137269,8.3,13.2,2,1
50832,19.1,14.3,9,0
17547,34.4,8.9,4,0
158522,19.7,27.0,8,1
158346,47.7,0.8,12,0
73584,33.0,6.9,6,0
144074,19.4,28.4,10,1
159443,60.0,8.7,9,0
91568,33.9,11.7,5,1
72882,44.0,5.9,10,0
132162,18.7,4.0,11,0
29413,16.8,17.4,5,0
30367,39.8,19.5,2,0
53214,46.4,13.4,12,0
164045,18.3,28.7,1,1
20473,14.6,8.5,13,0
135234,38.3,1.9,10,0
171328,12.3,16.0,11,1
24061,54.5,29.9,2,0
132686,55.6,11.9,8,0
49097,60.3,16.4,1,0
119407,21.6,16.7,7,1
